input_file, Card, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 6245, 10590, 5957, 5917, 6165, 6222, 6315
datasets/crusoe.txt, 6245, 2647, 5626, 6342, 6268, 6451, 7152
datasets/crusoe.txt, 6245, 5295, 6122, 7397, 6208, 7013, 5663
datasets/crusoe.txt, 6245, 5295, 5957, 6647, 5889, 6082, 8689
datasets/crusoe.txt, 6245, 10590, 7446, 6526, 5821, 6454, 4279
datasets/crusoe.txt, 6245, 2647, 5957, 5830, 6585, 6293, 6987
datasets/crusoe.txt, 6245, 5295, 6122, 5838, 5738, 5695, 5888
datasets/crusoe.txt, 6245, 5295, 5460, 5171, 6314, 7158, 6879
datasets/crusoe.txt, 6245, 10590, 6288, 6164, 7210, 6601, 5039
datasets/crusoe.txt, 6245, 5295, 6619, 6692, 6465, 6548, 5198
datasets/crusoe.txt, 6245, 10590, 5957, 6363, 6445, 6613, 5707
datasets/crusoe.txt, 6245, 5295, 6453, 5514, 6347, 6225, 6121
datasets/crusoe.txt, 6245, 10590, 5460, 6119, 5660, 5784, 5888
datasets/crusoe.txt, 6245, 5295, 5957, 5714, 6439, 6149, 7042
datasets/crusoe.txt, 6245, 5295, 5791, 6030, 5756, 6178, 5532
datasets/crusoe.txt, 6245, 10590, 6288, 5412, 6103, 5198, 7553
datasets/crusoe.txt, 6245, 10590, 6453, 6058, 5578, 5860, 6364
datasets/crusoe.txt, 6245, 10590, 5791, 6966, 6180, 6633, 7264
datasets/crusoe.txt, 6245, 2647, 6122, 5553, 7052, 6866, 6169
datasets/crusoe.txt, 6245, 21181, 6288, 6553, 5561, 5409, 5619
datasets/crusoe.txt, 6245, 2647, 5626, 5071, 6140, 6240, 8038
datasets/crusoe.txt, 6245, 10590, 5791, 5953, 6477, 6938, 4698
datasets/crusoe.txt, 6245, 21181, 6288, 6086, 5977, 6164, 6364
datasets/crusoe.txt, 6245, 10590, 6288, 6389, 6191, 6729, 6169
datasets/crusoe.txt, 6245, 10590, 6288, 6253, 6810, 5899, 7264
datasets/crusoe.txt, 6245, 5295, 6619, 6069, 7236, 6681, 6514
datasets/crusoe.txt, 6245, 5295, 5957, 6056, 5899, 5593, 8488
datasets/crusoe.txt, 6245, 42362, 6122, 6358, 6310, 6307, 5663
datasets/crusoe.txt, 6245, 5295, 5460, 6409, 6181, 6195, 3989
datasets/crusoe.txt, 6245, 2647, 6950, 5952, 6415, 5950, 5797
datasets/crusoe.txt, 6245, 10590, 5460, 6114, 5631, 5587, 5575
datasets/crusoe.txt, 6245, 2647, 5957, 5937, 5641, 5726, 4589
datasets/crusoe.txt, 6245, 10590, 5957, 6363, 6249, 6285, 6414
datasets/crusoe.txt, 6245, 2647, 5957, 6124, 6047, 6184, 7612
datasets/crusoe.txt, 6245, 5295, 6288, 6927, 6410, 6941, 4734
datasets/crusoe.txt, 6245, 2647, 6122, 5825, 5814, 5435, 7378
datasets/crusoe.txt, 6245, 21181, 6122, 5715, 7713, 6886, 6565
datasets/crusoe.txt, 6245, 10590, 5957, 5891, 5876, 6402, 6364
datasets/crusoe.txt, 6245, 21181, 5957, 6735, 6639, 6221, 5934
datasets/crusoe.txt, 6245, 2647, 5626, 6423, 6335, 6687, 6617
datasets/crusoe.txt, 6245, 10590, 6619, 6844, 6242, 6048, 5158
datasets/crusoe.txt, 6245, 21181, 6619, 5680, 5802, 6445, 5362
datasets/crusoe.txt, 6245, 2647, 6784, 6546, 5778, 5451, 6315
datasets/crusoe.txt, 6245, 2647, 6288, 5182, 5578, 5938, 9392
datasets/crusoe.txt, 6245, 1323, 6950, 5202, 6158, 6131, 8894
datasets/crusoe.txt, 6245, 21181, 6122, 6547, 5816, 6673, 5532
datasets/crusoe.txt, 6245, 21181, 6288, 6608, 5538, 6095, 5888
datasets/crusoe.txt, 6245, 5295, 6453, 7515, 6692, 6119, 6464
datasets/crusoe.txt, 6245, 2647, 6122, 6305, 5954, 5705, 7494
datasets/crusoe.txt, 6245, 5295, 5957, 5917, 6884, 6348, 5980
datasets/crusoe.txt, 6245, 5295, 6288, 5284, 7176, 6562, 6266
datasets/crusoe.txt, 6245, 10590, 5791, 5505, 6814, 5884, 6464
datasets/crusoe.txt, 6245, 5295, 6122, 6542, 5140, 5783, 6514
datasets/crusoe.txt, 6245, 5295, 5626, 5524, 5712, 5403, 5752
datasets/crusoe.txt, 6245, 5295, 6619, 6196, 5861, 6064, 5575
datasets/crusoe.txt, 6245, 5295, 5791, 5899, 6581, 7044, 6720
datasets/crusoe.txt, 6245, 2647, 5957, 5984, 5868, 5916, 4961
datasets/crusoe.txt, 6245, 1323, 5791, 6217, 5213, 5667, 5663
datasets/crusoe.txt, 6245, 5295, 5957, 5859, 5688, 6113, 6933
datasets/crusoe.txt, 6245, 2647, 6288, 5882, 6078, 6553, 5158
datasets/crusoe.txt, 6245, 42362, 5626, 6565, 5443, 6065, 4961
datasets/crusoe.txt, 6245, 5295, 6453, 6340, 6514, 5890, 6933
datasets/crusoe.txt, 6245, 21181, 5791, 6150, 6836, 5971, 5752
datasets/crusoe.txt, 6245, 2647, 5791, 6304, 7009, 7810, 6565
datasets/crusoe.txt, 6245, 2647, 5626, 6089, 6511, 6124, 8038
datasets/crusoe.txt, 6245, 5295, 6122, 5814, 6837, 6759, 5404
datasets/crusoe.txt, 6245, 10590, 7446, 6708, 5409, 4781, 5707
datasets/crusoe.txt, 6245, 1323, 6453, 6378, 5537, 5911, 5280
datasets/crusoe.txt, 6245, 5295, 6122, 6616, 5909, 6508, 5489
datasets/crusoe.txt, 6245, 10590, 6122, 5130, 6865, 6892, 6074
datasets/crusoe.txt, 6245, 5295, 5957, 5934, 6634, 7306, 5663
datasets/crusoe.txt, 6245, 10590, 7115, 6907, 6967, 7060, 6364
datasets/crusoe.txt, 6245, 2647, 6288, 6774, 5891, 6064, 5280
datasets/crusoe.txt, 6245, 10590, 5626, 5914, 6202, 6114, 6514
datasets/crusoe.txt, 6245, 10590, 5626, 5822, 6623, 6430, 8554
datasets/crusoe.txt, 6245, 10590, 6122, 6314, 6621, 6217, 5980
datasets/crusoe.txt, 6245, 5295, 6122, 5395, 6895, 6754, 5752
datasets/crusoe.txt, 6245, 5295, 6950, 6855, 5830, 5615, 5619
datasets/crusoe.txt, 6245, 2647, 5957, 5837, 5507, 5406, 5321
datasets/crusoe.txt, 6245, 5295, 5791, 6047, 5325, 5728, 4922
datasets/crusoe.txt, 6245, 5295, 6784, 6064, 6180, 6007, 4922
datasets/crusoe.txt, 6245, 21181, 6288, 6647, 6922, 6558, 7264
datasets/crusoe.txt, 6245, 21181, 5957, 5879, 6207, 6298, 6464
datasets/crusoe.txt, 6245, 21181, 5957, 6523, 5549, 5865, 6617
datasets/crusoe.txt, 6245, 1323, 6453, 7359, 6207, 6430, 5321
datasets/crusoe.txt, 6245, 21181, 5129, 5549, 5806, 5842, 6169
datasets/crusoe.txt, 6245, 2647, 5791, 6051, 5650, 5581, 5663
datasets/crusoe.txt, 6245, 10590, 6288, 6336, 6373, 6150, 4809
datasets/crusoe.txt, 6245, 5295, 5460, 6150, 6090, 6144, 7914
datasets/crusoe.txt, 6245, 5295, 6619, 7602, 7679, 7556, 5447
datasets/crusoe.txt, 6245, 2647, 6453, 6113, 6343, 6706, 5934
datasets/crusoe.txt, 6245, 2647, 6122, 6908, 6195, 6175, 5198
datasets/crusoe.txt, 6245, 2647, 6288, 7334, 5844, 6310, 4884
datasets/crusoe.txt, 6245, 10590, 5957, 5628, 6538, 6432, 5404
datasets/crusoe.txt, 6245, 2647, 6453, 6670, 6406, 7254, 7612
datasets/crusoe.txt, 6245, 42362, 6784, 6637, 5495, 5763, 5039
datasets/crusoe.txt, 6245, 21181, 6288, 7242, 7919, 6578, 5842
datasets/crusoe.txt, 6245, 2647, 6288, 6310, 6088, 6377, 6074
datasets/crusoe.txt, 6245, 10590, 6288, 5814, 5752, 6531, 6315
datasets/crusoe.txt, 6245, 5295, 6453, 6165, 6006, 6965, 5447
datasets/dracula.txt, 9425, 10590, 10921, 10486, 8592, 9679, 8228
datasets/dracula.txt, 9425, 2647, 10590, 11705, 9895, 9670, 8894
datasets/dracula.txt, 9425, 10590, 8770, 8123, 9624, 9580, 13860
datasets/dracula.txt, 9425, 21181, 9432, 9204, 10434, 9563, 11146
datasets/dracula.txt, 9425, 5295, 8604, 8208, 9714, 8376, 8292
datasets/dracula.txt, 9425, 10590, 10921, 8764, 8393, 8983, 9319
datasets/dracula.txt, 9425, 10590, 9432, 9318, 7462, 8047, 9033
datasets/dracula.txt, 9425, 169450, 10590, 11025, 8952, 7976, 10804
datasets/dracula.txt, 9425, 10590, 10094, 9128, 11610, 11203, 7436
datasets/dracula.txt, 9425, 10590, 9763, 9849, 8500, 8046, 8757
datasets/dracula.txt, 9425, 21181, 9266, 10542, 8771, 8024, 7436
datasets/dracula.txt, 9425, 21181, 9597, 11317, 9911, 9865, 8228
datasets/dracula.txt, 9425, 10590, 9266, 8814, 8552, 8481, 8101
datasets/dracula.txt, 9425, 5295, 9101, 8143, 9221, 9318, 10311
datasets/dracula.txt, 9425, 21181, 9597, 9155, 9096, 9230, 9918
datasets/dracula.txt, 9425, 2647, 8935, 9393, 9629, 8774, 9319
datasets/dracula.txt, 9425, 21181, 10259, 10415, 10376, 10510, 9465
datasets/dracula.txt, 9425, 10590, 10756, 11067, 9730, 10817, 10232
datasets/dracula.txt, 9425, 1323, 8770, 8970, 8930, 9262, 7494
datasets/dracula.txt, 9425, 10590, 9432, 11458, 9551, 9343, 9104
datasets/dracula.txt, 9425, 2647, 7943, 9168, 9568, 8654, 6933
datasets/dracula.txt, 9425, 5295, 8604, 8083, 8856, 9883, 8825
datasets/dracula.txt, 9425, 5295, 8935, 8308, 9954, 9674, 9841
datasets/dracula.txt, 9425, 10590, 9266, 9031, 10245, 9922, 10073
datasets/dracula.txt, 9425, 2647, 8770, 9373, 9468, 8903, 9918
datasets/dracula.txt, 9425, 10590, 8935, 8619, 9156, 9716, 8101
datasets/dracula.txt, 9425, 10590, 9266, 9727, 8982, 9345, 9104
datasets/dracula.txt, 9425, 21181, 8935, 9854, 8559, 8947, 7494
datasets/dracula.txt, 9425, 5295, 9432, 10289, 9837, 9202, 9247
datasets/dracula.txt, 9425, 5295, 9928, 9687, 9589, 9235, 10889
datasets/dracula.txt, 9425, 5295, 9597, 8912, 8489, 9179, 10073
datasets/dracula.txt, 9425, 42362, 8770, 8710, 9777, 9243, 8488
datasets/dracula.txt, 9425, 5295, 8439, 9515, 7857, 8840, 9689
datasets/dracula.txt, 9425, 5295, 10590, 9218, 9564, 11089, 8038
datasets/dracula.txt, 9425, 5295, 9763, 8980, 8719, 9296, 13023
datasets/dracula.txt, 9425, 10590, 9597, 8381, 7743, 8827, 9033
datasets/dracula.txt, 9425, 5295, 9432, 8858, 9427, 8575, 9614
datasets/dracula.txt, 9425, 2647, 9763, 9121, 10668, 9654, 8825
datasets/dracula.txt, 9425, 5295, 9763, 8754, 8311, 8387, 12624
datasets/dracula.txt, 9425, 10590, 9432, 9601, 9159, 10075, 9247
datasets/dracula.txt, 9425, 21181, 9432, 9576, 9616, 10123, 9689
datasets/dracula.txt, 9425, 5295, 9928, 9478, 10654, 10540, 9392
datasets/dracula.txt, 9425, 2647, 8604, 8604, 10873, 11001, 10392
datasets/dracula.txt, 9425, 21181, 9432, 9333, 8774, 8188, 7321
datasets/dracula.txt, 9425, 21181, 8935, 8529, 8378, 7889, 8164
datasets/dracula.txt, 9425, 5295, 9432, 9917, 7652, 7953, 10804
datasets/dracula.txt, 9425, 5295, 9597, 10086, 9143, 9221, 10311
datasets/dracula.txt, 9425, 42362, 9101, 9502, 9740, 9613, 9995
datasets/dracula.txt, 9425, 10590, 8108, 8397, 8465, 8483, 8038
datasets/dracula.txt, 9425, 5295, 9266, 9180, 9705, 9062, 9918
datasets/dracula.txt, 9425, 21181, 9763, 8866, 9847, 10455, 14523
datasets/dracula.txt, 9425, 5295, 9763, 9255, 10837, 10998, 8894
datasets/dracula.txt, 9425, 10590, 8935, 8931, 9658, 9393, 8963
datasets/dracula.txt, 9425, 21181, 8439, 8078, 10810, 10293, 8422
