input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.00194321, 0.00259369, 0.00250366, 0.00271334, 0.037234, 0.00305972, 0.0157665
datasets/crusoe.txt, 0.00199592, 0.00233146, 0.002336, 0.00244393, 0.0454281, 0.00306288, 0.0154251
datasets/crusoe.txt, 0.0019068, 0.00226062, 0.00233614, 0.00241843, 0.0362949, 0.00307515, 0.0155242
datasets/crusoe.txt, 0.00188024, 0.0022743, 0.00241711, 0.00242462, 0.0391251, 0.00304596, 0.0156912
datasets/crusoe.txt, 0.00188823, 0.00228053, 0.00233253, 0.00238553, 0.0363244, 0.00302961, 0.0150854
datasets/crusoe.txt, 0.00190346, 0.00231372, 0.00234425, 0.00239149, 0.0366615, 0.00302344, 0.0155
datasets/crusoe.txt, 0.00195305, 0.00236029, 0.00235778, 0.00239053, 0.0368644, 0.00305268, 0.0151814
datasets/crusoe.txt, 0.00199875, 0.00227996, 0.00233217, 0.00237909, 0.0401795, 0.00302826, 0.0158036
datasets/crusoe.txt, 0.00187923, 0.00225088, 0.00232364, 0.00288938, 0.0369493, 0.00304, 0.017152
datasets/crusoe.txt, 0.00198051, 0.00265429, 0.002389, 0.00252948, 0.0373958, 0.00307842, 0.0160491
datasets/crusoe.txt, 0.00197082, 0.00240028, 0.00236636, 0.0024662, 0.037156, 0.00299595, 0.0154811
datasets/crusoe.txt, 0.00188968, 0.00267488, 0.00246788, 0.0025562, 0.0355257, 0.00317771, 0.0151749
datasets/crusoe.txt, 0.00195315, 0.00232536, 0.00235318, 0.00253834, 0.0365552, 0.00311776, 0.0154375
datasets/crusoe.txt, 0.0019169, 0.00236137, 0.00236712, 0.00241485, 0.0366247, 0.00303226, 0.014648
datasets/crusoe.txt, 0.00195659, 0.00235175, 0.00234259, 0.0024326, 0.0368531, 0.0030521, 0.0152611
datasets/crusoe.txt, 0.00217925, 0.00230855, 0.00237559, 0.00240239, 0.0379065, 0.00310813, 0.0155375
datasets/crusoe.txt, 0.00190669, 0.00231859, 0.00235572, 0.00243045, 0.0359072, 0.00298982, 0.0154568
datasets/crusoe.txt, 0.00198945, 0.0025385, 0.00245087, 0.00243191, 0.037484, 0.00305533, 0.0152167
datasets/crusoe.txt, 0.00190546, 0.00232389, 0.00239497, 0.00303, 0.0378179, 0.00347851, 0.0163397
datasets/crusoe.txt, 0.00192039, 0.00229182, 0.00243923, 0.00247568, 0.0377968, 0.00312261, 0.0166556
datasets/crusoe.txt, 0.00189145, 0.0024376, 0.00254297, 0.00248013, 0.0371808, 0.00303113, 0.0160826
datasets/crusoe.txt, 0.00195621, 0.00233058, 0.00251845, 0.00299389, 0.0394516, 0.00431492, 0.0168815
datasets/crusoe.txt, 0.00256119, 0.0027919, 0.00353923, 0.00256322, 0.0415565, 0.00309136, 0.0156783
datasets/crusoe.txt, 0.00192601, 0.00235445, 0.00235351, 0.00254887, 0.0369073, 0.003149, 0.0158611
datasets/crusoe.txt, 0.00210275, 0.00244447, 0.00252259, 0.00244679, 0.0354236, 0.00316936, 0.0160824
datasets/crusoe.txt, 0.00197049, 0.00235359, 0.00237471, 0.00246589, 0.0389556, 0.0030714, 0.0164016
datasets/crusoe.txt, 0.00191019, 0.00230829, 0.00241159, 0.0024566, 0.0375423, 0.00389546, 0.0160487
datasets/crusoe.txt, 0.00229796, 0.00241451, 0.00252326, 0.00244442, 0.0366945, 0.0031052, 0.0163295
datasets/crusoe.txt, 0.00195876, 0.0023903, 0.0025615, 0.00267859, 0.0371507, 0.00314685, 0.0158175
datasets/crusoe.txt, 0.00197453, 0.00237942, 0.00232093, 0.00249727, 0.0380681, 0.00303659, 0.0159687
datasets/crusoe.txt, 0.0019462, 0.00232584, 0.00232236, 0.00242399, 0.0383944, 0.00302749, 0.0153143
datasets/crusoe.txt, 0.0020645, 0.00236068, 0.00244257, 0.00275054, 0.0366679, 0.00400635, 0.0162639
datasets/crusoe.txt, 0.0029205, 0.00232588, 0.00230542, 0.0024388, 0.0381999, 0.00310227, 0.0159309
datasets/crusoe.txt, 0.0021436, 0.00240239, 0.00255334, 0.00280181, 0.0389239, 0.00323452, 0.0162331
datasets/crusoe.txt, 0.00195355, 0.00237024, 0.00250899, 0.0026632, 0.040902, 0.00306328, 0.0156094
datasets/crusoe.txt, 0.00197166, 0.00240142, 0.00240373, 0.00249775, 0.0370507, 0.00316125, 0.016412
datasets/crusoe.txt, 0.00196102, 0.00238152, 0.00235932, 0.00240877, 0.0398947, 0.00374267, 0.0156569
datasets/crusoe.txt, 0.00264311, 0.0024833, 0.00237411, 0.00242933, 0.040544, 0.00369391, 0.0163767
datasets/crusoe.txt, 0.00269942, 0.00235216, 0.00245887, 0.00238979, 0.0376285, 0.0031029, 0.0156483
datasets/crusoe.txt, 0.00192686, 0.00236959, 0.0026079, 0.0025093, 0.0384182, 0.00314537, 0.0166221
datasets/crusoe.txt, 0.0019628, 0.00234735, 0.00287348, 0.0024689, 0.0389822, 0.00312019, 0.0166436
datasets/crusoe.txt, 0.00194698, 0.002381, 0.00239166, 0.00254781, 0.0397772, 0.0031703, 0.0160845
datasets/crusoe.txt, 0.00205154, 0.00237806, 0.00250595, 0.00290259, 0.0371801, 0.00354195, 0.015834
datasets/crusoe.txt, 0.00192529, 0.00312605, 0.00250342, 0.00246766, 0.0380112, 0.0031254, 0.0162674
datasets/crusoe.txt, 0.00206309, 0.00231861, 0.00259909, 0.0024797, 0.0371806, 0.00312117, 0.015778
datasets/crusoe.txt, 0.00201275, 0.00262691, 0.00262045, 0.00258828, 0.0373175, 0.00308044, 0.0148713
datasets/crusoe.txt, 0.00195018, 0.00231033, 0.00236161, 0.00245383, 0.0373772, 0.00318626, 0.0159589
datasets/crusoe.txt, 0.00221427, 0.00237104, 0.00247512, 0.00249511, 0.0371034, 0.00313556, 0.0158363
datasets/crusoe.txt, 0.00192729, 0.00232073, 0.00240472, 0.00241029, 0.0376197, 0.00306255, 0.0167269
datasets/crusoe.txt, 0.00190829, 0.00229613, 0.00232245, 0.00254879, 0.0400923, 0.00304891, 0.0174929
datasets/crusoe.txt, 0.00194081, 0.00231757, 0.00237187, 0.00243559, 0.0401039, 0.00307197, 0.0152578
datasets/crusoe.txt, 0.00195057, 0.00231362, 0.00251196, 0.00247104, 0.0373935, 0.00321692, 0.0155121
datasets/crusoe.txt, 0.00193392, 0.0023183, 0.00253786, 0.00246161, 0.0348049, 0.00309775, 0.0152376
datasets/crusoe.txt, 0.00185376, 0.00242517, 0.00234489, 0.00256638, 0.0376756, 0.00297916, 0.0166932
datasets/crusoe.txt, 0.00186357, 0.00240744, 0.00242757, 0.00243132, 0.0379687, 0.00312097, 0.0161957
datasets/crusoe.txt, 0.00209879, 0.00247662, 0.00239596, 0.00244754, 0.03631, 0.00307951, 0.0154989
datasets/crusoe.txt, 0.00191801, 0.00239389, 0.00236699, 0.00243705, 0.036461, 0.00323253, 0.0158124
datasets/crusoe.txt, 0.00204442, 0.00240448, 0.00244795, 0.00261534, 0.0376488, 0.00355027, 0.0156132
datasets/crusoe.txt, 0.00197682, 0.0023335, 0.00249569, 0.00246714, 0.0356931, 0.00304296, 0.0156834
datasets/crusoe.txt, 0.00208204, 0.00237071, 0.00232504, 0.00265031, 0.0366058, 0.00316825, 0.0157967
datasets/crusoe.txt, 0.00187394, 0.00238479, 0.00233681, 0.00245764, 0.0378288, 0.00324319, 0.0164547
datasets/crusoe.txt, 0.00199607, 0.00249112, 0.00249082, 0.00274804, 0.03738, 0.00308741, 0.0161111
datasets/crusoe.txt, 0.0019747, 0.0024321, 0.00243258, 0.0025233, 0.0394665, 0.00347869, 0.0156274
datasets/crusoe.txt, 0.0019481, 0.00244295, 0.00254882, 0.00261194, 0.0362105, 0.00309009, 0.0155584
datasets/crusoe.txt, 0.00196419, 0.00231869, 0.00236859, 0.0024719, 0.038718, 0.00317923, 0.0162665
datasets/crusoe.txt, 0.00188584, 0.0024417, 0.00234696, 0.00254048, 0.0377174, 0.00333499, 0.0153582
datasets/crusoe.txt, 0.00196833, 0.00257316, 0.00252193, 0.00254844, 0.037128, 0.0030122, 0.0166915
