input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.0018893, 0.00244, 0.00255598, 0.00243736, 0.0208634, 0.00306286, 0.00934169
datasets/crusoe.txt, 0.00194077, 0.00235706, 0.00235981, 0.00239764, 0.0210679, 0.00311246, 0.00960322
datasets/crusoe.txt, 0.00191938, 0.00236097, 0.00237057, 0.00237995, 0.0211027, 0.00316623, 0.00964973
datasets/crusoe.txt, 0.00191608, 0.00238746, 0.0026997, 0.00246121, 0.021828, 0.00330446, 0.00985838
datasets/crusoe.txt, 0.0019569, 0.00237444, 0.00263591, 0.00260015, 0.0213789, 0.00315856, 0.0112075
datasets/crusoe.txt, 0.00223865, 0.00230423, 0.002527, 0.00344668, 0.0251341, 0.00312121, 0.00973072
datasets/crusoe.txt, 0.00197742, 0.00238927, 0.00251201, 0.00243594, 0.0219922, 0.00313345, 0.00997272
datasets/crusoe.txt, 0.00194087, 0.00236112, 0.00237881, 0.00273189, 0.021509, 0.00310906, 0.0104684
datasets/crusoe.txt, 0.0020477, 0.0025317, 0.00242427, 0.0031139, 0.0217915, 0.00334335, 0.0100424
datasets/crusoe.txt, 0.00190973, 0.00233598, 0.00233832, 0.00274437, 0.0213692, 0.003139, 0.00978858
datasets/crusoe.txt, 0.00193642, 0.0025172, 0.00238119, 0.0024169, 0.0209294, 0.00309072, 0.00996952
datasets/crusoe.txt, 0.00240771, 0.00240378, 0.00238923, 0.00245127, 0.0211569, 0.00329594, 0.012176
datasets/crusoe.txt, 0.00199937, 0.0024114, 0.00236201, 0.00242299, 0.0212774, 0.00317681, 0.00969741
datasets/crusoe.txt, 0.00191009, 0.00240216, 0.00252916, 0.00250812, 0.0225063, 0.00329991, 0.0100917
datasets/crusoe.txt, 0.00186397, 0.00245404, 0.00237465, 0.00233718, 0.0213878, 0.0029822, 0.010153
datasets/crusoe.txt, 0.00251315, 0.00237558, 0.00239736, 0.00261557, 0.021306, 0.00299408, 0.0102511
datasets/crusoe.txt, 0.00190234, 0.00229162, 0.00231095, 0.0023603, 0.0226066, 0.00305969, 0.00980537
datasets/crusoe.txt, 0.00193489, 0.00255182, 0.00238561, 0.00239125, 0.0213658, 0.00303336, 0.00996149
datasets/crusoe.txt, 0.00196475, 0.00241008, 0.00242013, 0.00260144, 0.0213842, 0.00311403, 0.00995096
datasets/crusoe.txt, 0.00198985, 0.00223122, 0.00230721, 0.00251473, 0.0214167, 0.00305177, 0.0100868
datasets/crusoe.txt, 0.00258228, 0.00229463, 0.00252323, 0.00240168, 0.0214648, 0.00330981, 0.00953476
datasets/crusoe.txt, 0.00190114, 0.0023639, 0.00241048, 0.00273928, 0.0217247, 0.00305665, 0.00992046
datasets/crusoe.txt, 0.00189982, 0.00296872, 0.00233073, 0.0023836, 0.0240112, 0.00332275, 0.0103722
