input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.00194214, 0.00232196, 0.0023465, 0.00246385, 0.00386637, 0.00293591, 0.00289936
datasets/crusoe.txt, 0.00195106, 0.00237974, 0.00232071, 0.00242869, 0.00386956, 0.00295627, 0.00292881
datasets/crusoe.txt, 0.00188577, 0.00238456, 0.00243187, 0.00250806, 0.00397887, 0.00293874, 0.00304246
datasets/crusoe.txt, 0.00199607, 0.00230263, 0.0024513, 0.002538, 0.00382349, 0.00290537, 0.0033412
datasets/crusoe.txt, 0.00193254, 0.00238256, 0.00233812, 0.0024389, 0.00388851, 0.00292644, 0.00289186
datasets/crusoe.txt, 0.0020463, 0.00233384, 0.00233385, 0.00244034, 0.00384299, 0.0028649, 0.00275892
datasets/crusoe.txt, 0.00192469, 0.00238674, 0.0023656, 0.00257351, 0.00393106, 0.00289978, 0.00284871
datasets/crusoe.txt, 0.00212235, 0.00253097, 0.00231908, 0.00237711, 0.00389031, 0.00291922, 0.0029362
datasets/crusoe.txt, 0.00194688, 0.00253127, 0.00237755, 0.00245186, 0.00383713, 0.00341214, 0.00282044
datasets/crusoe.txt, 0.00187459, 0.0023167, 0.00245313, 0.0024632, 0.00388192, 0.00307334, 0.00288625
datasets/crusoe.txt, 0.00206617, 0.00233276, 0.0024195, 0.00241017, 0.00383691, 0.00326933, 0.00277699
datasets/crusoe.txt, 0.00186553, 0.00242611, 0.00241105, 0.00357147, 0.00380627, 0.00316358, 0.00270475
datasets/crusoe.txt, 0.00185312, 0.00224858, 0.00257199, 0.00237574, 0.0037928, 0.00304377, 0.00288863
datasets/crusoe.txt, 0.0020214, 0.00248727, 0.00230558, 0.00272412, 0.00413471, 0.00283313, 0.00276736
datasets/crusoe.txt, 0.00215969, 0.00227446, 0.00230041, 0.00275684, 0.00378803, 0.00289193, 0.00294233
datasets/crusoe.txt, 0.00186387, 0.00229135, 0.0024657, 0.0025805, 0.00381126, 0.0029364, 0.00275633
datasets/crusoe.txt, 0.0023224, 0.00228965, 0.0022572, 0.0023333, 0.00381283, 0.00283711, 0.00318191
datasets/crusoe.txt, 0.00212214, 0.00226417, 0.00242825, 0.0024649, 0.0038198, 0.002983, 0.00289564
datasets/crusoe.txt, 0.00242932, 0.00234294, 0.00251405, 0.00249183, 0.00388455, 0.00301098, 0.00293727
datasets/crusoe.txt, 0.0019031, 0.00235303, 0.00229654, 0.00241201, 0.00388779, 0.00288911, 0.00272961
datasets/crusoe.txt, 0.00188514, 0.00247356, 0.00234289, 0.00243633, 0.00388758, 0.00298105, 0.00282855
datasets/crusoe.txt, 0.00198842, 0.00230329, 0.00243771, 0.00247751, 0.00383526, 0.00290793, 0.00281939
datasets/crusoe.txt, 0.00191583, 0.00226513, 0.00269903, 0.00258666, 0.00386988, 0.00287829, 0.0029437
