input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.00211428, 0.00293602, 0.00254161, 0.00251167, 0.00806222, 0.00310873, 0.00520008
datasets/crusoe.txt, 0.00189528, 0.0022835, 0.00244089, 0.00415384, 0.00828274, 0.00312328, 0.00492428
datasets/crusoe.txt, 0.00198835, 0.0024097, 0.00248982, 0.00254026, 0.00775334, 0.00306219, 0.00489587
datasets/crusoe.txt, 0.00190572, 0.00250282, 0.00240782, 0.00242139, 0.00777497, 0.00317482, 0.00501722
datasets/crusoe.txt, 0.00196379, 0.00233168, 0.00239072, 0.00242145, 0.00788305, 0.00318703, 0.0050243
datasets/crusoe.txt, 0.00191031, 0.00231651, 0.00240414, 0.00250213, 0.00800599, 0.00330429, 0.00511287
datasets/crusoe.txt, 0.00194531, 0.00234597, 0.00245123, 0.00304171, 0.00775763, 0.00347256, 0.00493818
datasets/crusoe.txt, 0.00220285, 0.00232799, 0.00245721, 0.00250483, 0.00804587, 0.00308543, 0.00497588
datasets/crusoe.txt, 0.00194723, 0.00233726, 0.00274304, 0.00246309, 0.00808207, 0.00312638, 0.00564018
datasets/crusoe.txt, 0.00215086, 0.00235177, 0.00246125, 0.00246243, 0.00793503, 0.00367228, 0.00474887
datasets/crusoe.txt, 0.00188127, 0.00247811, 0.00497219, 0.00243615, 0.00830354, 0.00314339, 0.00490315
datasets/crusoe.txt, 0.00193645, 0.0022881, 0.00293795, 0.00248331, 0.0082373, 0.0032418, 0.00486503
datasets/crusoe.txt, 0.00193196, 0.00232083, 0.00245261, 0.00289317, 0.00781699, 0.00328794, 0.00469871
datasets/crusoe.txt, 0.00192988, 0.00276216, 0.00366538, 0.00242562, 0.00775817, 0.00317587, 0.00540648
datasets/crusoe.txt, 0.00190586, 0.0023108, 0.00285876, 0.00257635, 0.00816601, 0.00307902, 0.00689435
datasets/crusoe.txt, 0.0019213, 0.00226245, 0.00249179, 0.00238292, 0.00796672, 0.00427928, 0.00482928
datasets/crusoe.txt, 0.00190018, 0.00233847, 0.0024821, 0.00242335, 0.00774629, 0.00319724, 0.00494163
datasets/crusoe.txt, 0.00194125, 0.0023077, 0.00234887, 0.00252867, 0.00773689, 0.00307081, 0.00487578
datasets/crusoe.txt, 0.0020049, 0.00231243, 0.00237838, 0.00236182, 0.00760986, 0.00307701, 0.00482076
datasets/crusoe.txt, 0.0019121, 0.00227976, 0.00235066, 0.00236771, 0.00768919, 0.00307709, 0.0048749
datasets/crusoe.txt, 0.00188885, 0.00227201, 0.00233828, 0.00244475, 0.0077671, 0.00307891, 0.00489739
datasets/crusoe.txt, 0.00192059, 0.00270705, 0.00249613, 0.00235322, 0.00760703, 0.00355085, 0.00483235
datasets/crusoe.txt, 0.00189638, 0.00225683, 0.0024199, 0.00237081, 0.00770577, 0.00303409, 0.00482826
datasets/crusoe.txt, 0.0019444, 0.00233191, 0.00230823, 0.00236712, 0.0075642, 0.0030469, 0.00477304
datasets/crusoe.txt, 0.00191756, 0.00228172, 0.00245272, 0.00247277, 0.00764236, 0.00306455, 0.00669264
datasets/crusoe.txt, 0.00186899, 0.00231539, 0.00235827, 0.0024573, 0.00789794, 0.00314923, 0.00479603
datasets/crusoe.txt, 0.00191694, 0.0023003, 0.00244365, 0.00239167, 0.00777028, 0.00306291, 0.00477994
datasets/crusoe.txt, 0.00191949, 0.00235504, 0.00257225, 0.002434, 0.00765647, 0.00305174, 0.00518479
datasets/crusoe.txt, 0.00191106, 0.00225609, 0.00240516, 0.002443, 0.00758582, 0.00298886, 0.00478412
datasets/crusoe.txt, 0.00195977, 0.0022928, 0.00235392, 0.00236324, 0.00762463, 0.00306608, 0.00475681
datasets/crusoe.txt, 0.00195327, 0.00228082, 0.00235963, 0.00234426, 0.00778658, 0.00307039, 0.00475191
datasets/crusoe.txt, 0.00248764, 0.00229308, 0.00242406, 0.00242154, 0.00770662, 0.0030254, 0.00476209
datasets/crusoe.txt, 0.00188775, 0.0023521, 0.00246543, 0.00238599, 0.00804857, 0.00301973, 0.00490365
datasets/crusoe.txt, 0.00191527, 0.00228757, 0.002466, 0.00236925, 0.00778077, 0.00305406, 0.00495377
datasets/crusoe.txt, 0.00193704, 0.0024392, 0.00234892, 0.00243898, 0.00770728, 0.0031245, 0.00475291
datasets/crusoe.txt, 0.00192709, 0.00226126, 0.00234294, 0.00240401, 0.00788318, 0.00318167, 0.0047206
datasets/crusoe.txt, 0.00188984, 0.00242568, 0.00253022, 0.00362818, 0.00920776, 0.0032189, 0.0050465
datasets/crusoe.txt, 0.00205301, 0.00226684, 0.0024191, 0.00243697, 0.00777909, 0.00315547, 0.00500618
datasets/crusoe.txt, 0.00193839, 0.00227176, 0.00241941, 0.00253943, 0.0079661, 0.00313619, 0.00486624
datasets/crusoe.txt, 0.00197116, 0.00234005, 0.0023389, 0.00241659, 0.00779754, 0.00306337, 0.00485416
